DetectTask 041552 BOTTOM 0.jpg,1
DetectTask 041576 BOTTOM 0.jpg,1
DetectTask 041536 BOTTOM 0.jpg,1
DetectTask 041514 BOTTOM 0.jpg,0
DetectTask 039949 BOTTOM 0.jpg,1
DetectTask 041506 BOTTOM 0.jpg,1
DetectTask 039909 BOTTOM 0.jpg,1
DetectTask 041562 BOTTOM 0.jpg,1
DetectTask 041522 BOTTOM 0.jpg,1
DetectTask 041528 BOTTOM 0.jpg,1
DetectTask 039927 BOTTOM 0.jpg,1
DetectTask 039935 BOTTOM 0.jpg,0
DetectTask 041568 BOTTOM 0.jpg,0
DetectTask 039911 BOTTOM 0.jpg,1
DetectTask 039933 BOTTOM 0.jpg,1
DetectTask 041583 BOTTOM 0.jpg,0
DetectTask 039917 BOTTOM 0.jpg,1
DetectTask 039957 BOTTOM 0.jpg,1
DetectTask 039963 BOTTOM 0.jpg,1
DetectTask 039971 BOTTOM 0.jpg,1
DetectTask 041611 BOTTOM 0.jpg,0
DetectTask 039947 BOTTOM 0.jpg,1
DetectTask 039955 BOTTOM 0.jpg,1
DetectTask 039907 BOTTOM 0.jpg,0
DetectTask 039977 BOTTOM 0.jpg,1
DetectTask 041592 BOTTOM 0.jpg,0
DetectTask 039941 BOTTOM 0.jpg,1
DetectTask 041551 BOTTOM 0.jpg,1
DetectTask 041598 BOTTOM 0.jpg,0
DetectTask 041560 BOTTOM 0.jpg,0
DetectTask 041520 BOTTOM 0.jpg,1
DetectTask 039985 BOTTOM 0.jpg,1
DetectTask 041542 BOTTOM 0.jpg,1
DetectTask 041534 BOTTOM 0.jpg,1
DetectTask 039969 BOTTOM 0.jpg,1
DetectTask 039991 BOTTOM 0.jpg,1
DetectTask 041609 BOTTOM 0.jpg,0
